word,total_score,appeared_times,averange_score
团队,179,53,3.3774
独立,167,52,3.2115
好感,167,52,3.2115
同学,174,52,3.3462
粗暴,154,52,2.9615
人民,155,52,2.9808
姐姐,185,52,3.5577
干掉,160,52,3.0769
认识,178,52,3.4231
穿插,180,52,3.4615
悲剧,178,52,3.4231
清楚,160,52,3.0769
结合,188,52,3.6154
电视剧,142,52,2.7308
三观,161,52,3.0962
最高,185,51,3.6275
邪恶,147,51,2.8824
电脑,154,51,3.0196
太烂,121,51,2.3725
包袱,161,51,3.1569
个性,162,51,3.1765
起码,167,51,3.2745
浪费时间,105,51,2.0588
有没有,153,51,3
忘记,161,51,3.1569
公主,177,51,3.4706
好人,161,51,3.1569
妹妹,165,51,3.2353
时空,182,51,3.5686
苦大仇深,172,51,3.3725
队友,165,51,3.2353
用心,166,50,3.32
小朋友,162,50,3.24
舒服,160,50,3.2
战警,147,50,2.94
放弃,158,50,3.16
承认,167,50,3.34
沦为,131,50,2.62
顺便,177,50,3.54
满意,175,50,3.5
幻想,162,49,3.3061
选角,179,49,3.6531
乱入,163,49,3.3265
看多,139,49,2.8367
想想,162,49,3.3061
人性,165,49,3.3673
略显,170,49,3.4694
抢戏,164,49,3.3469
屏幕,156,49,3.1837
逆转,170,49,3.4694
优秀,166,49,3.3878
平民,162,49,3.3061
父子,178,49,3.6327
战争,150,48,3.125
老套路,136,48,2.8333
猪脚,141,48,2.9375
属于,161,48,3.3542
老婆,155,48,3.2292
银幕,168,48,3.5
爱看,152,48,3.1667
良心,176,48,3.6667
相爱,160,48,3.3333
现实,154,48,3.2083
挺不错,162,48,3.375
小伙伴,170,48,3.5417
转折,137,48,2.8542
最烂,81,48,1.6875
对手,140,47,2.9787
设置,148,47,3.1489
讨论,143,47,3.0426
功夫,146,47,3.1064
前半部,142,47,3.0213
看头,134,47,2.8511
暴力,131,47,2.7872
定位,141,47,3
纠结,158,47,3.3617
男友,169,47,3.5957
父亲,150,47,3.1915
感谢,169,47,3.5957
看见,152,47,3.234
敷衍,126,47,2.6809
英语,140,47,2.9787
睡过去,104,47,2.2128
没了,132,47,2.8085
医生,150,47,3.1915
谷粒,136,47,2.8936
国产,137,47,2.9149
最强,162,47,3.4468
怎么回事,147,47,3.1277
原始,145,47,3.0851
洗白,150,47,3.1915
完成度,162,47,3.4468
改变,149,46,3.2391
霸气,164,46,3.5652
眼花缭乱,144,46,3.1304
说话,150,46,3.2609
口味,144,46,3.1304
记忆,139,46,3.0217
决战,146,46,3.1739
不足,157,46,3.413
集体,138,46,3
满满的,155,46,3.3696
基神,168,46,3.6522
天才,154,45,3.4222
推荐,157,45,3.4889
实力,144,45,3.2
要死,116,45,2.5778
火车,150,45,3.3333
表情,151,45,3.3556
太丑,129,45,2.8667
忍不住,155,45,3.4444
小孩,133,45,2.9556
坐等,166,45,3.6889
不爽,126,45,2.8
诚意,156,45,3.4667
对不起,119,45,2.6444
卧槽,142,45,3.1556
猎鹰,166,45,3.6889
部落,135,45,3
微观,156,45,3.4667
缩小,138,45,3.0667
对比,140,44,3.1818
猜到,131,44,2.9773
重新,136,44,3.0909
观看,141,44,3.2045
身份,154,44,3.5
普通人,142,44,3.2273
事儿,119,44,2.7045
幸好,129,44,2.9318
女性,146,44,3.3182
打来打去,105,44,2.3864
口音,146,44,3.3182
怀疑,121,44,2.75
银河系,155,44,3.5227
一流,151,43,3.5116
表达,133,43,3.093
伟大,150,43,3.4884
没错,146,43,3.3953
错过,160,43,3.7209
噱头,126,43,2.9302
道理,133,43,3.093
用来,135,43,3.1395
怎么办,155,43,3.6047
好不好,122,43,2.8372
回到,147,43,3.4186
回家,148,43,3.4419
坏蛋,125,43,2.907
意淫,115,43,2.6744
公司,139,43,3.2326
生活,144,43,3.3488
心理,139,43,3.2326
讲述,153,43,3.5581
关键,141,43,3.2791
保护,138,43,3.2093
杀人,139,43,3.2326
战甲,147,43,3.4186
可言,93,43,2.1628
色彩,143,43,3.3256
相杀,148,43,3.4419
星云,153,43,3.5581
新鲜感,127,43,2.9535
大乱斗,138,43,3.2093
大锤,144,43,3.3488
智障,95,43,2.2093
伊利,120,43,2.7907
爆棚,168,43,3.907
魔王,139,43,3.2326
动画片,127,43,2.9535
王位,120,43,2.7907
耐心,145,42,3.4524
想法,134,42,3.1905
缺点,150,42,3.5714
推敲,119,42,2.8333
要求,139,42,3.3095
展示,132,42,3.1429
激情,140,42,3.3333
绚丽,134,42,3.1905
单纯,117,42,2.7857
认为,132,42,3.1429
不住,133,42,3.1667
类似,123,42,2.9286
人物性格,124,42,2.9524
啥意思,113,42,2.6905
漫威粉,126,42,3
阵容,155,42,3.6905
解决,132,42,3.1429
好歹,126,42,3
一无是处,86,42,2.0476
焦虑症,128,42,3.0476
便当,130,42,3.0952
圈钱,93,42,2.2143
亚裔,138,42,3.2857
微观世界,149,42,3.5476
和平,138,41,3.3659
完成,137,41,3.3415
留下,129,41,3.1463
全都,129,41,3.1463
来自,145,41,3.5366
花痴,151,41,3.6829
发达,116,41,2.8293
出品,149,41,3.6341
出演,132,41,3.2195
重点,127,41,3.0976
沒有,117,41,2.8537
原本,123,41,3
算了,114,41,2.7805
星星,138,41,3.3659
超凡,135,41,3.2927
鸡肋,115,41,2.8049
展开,133,41,3.2439
老子,107,41,2.6098
懒得,96,41,2.3415
超过,129,41,3.1463
星战,149,41,3.6341
脑洞,134,41,3.2683
有点像,129,40,3.225
决定,123,40,3.075
负责,139,40,3.475
优点,126,40,3.15
走向,115,40,2.875
审美,128,40,3.2
中文,129,40,3.225
超长,116,40,2.9
死亡,126,40,3.15
过度,115,40,2.875
听到,143,40,3.575
讲故事,131,40,3.275
男神,139,40,3.475
重启,133,40,3.325
突出,126,39,3.2308
包括,114,39,2.9231
成熟,134,39,3.4359
总算,144,39,3.6923
提前,121,39,3.1026
自带,132,39,3.3846
